Cabbacott, Devon, England
Churnet Grange, Staffordshire, England
Churscombe, Devon, England
Churston Ferrers, Devon, England
Churt, Hampshire, England
Churton, Cheshire, England
Churwell, West Yorkshire, England
Chute Cadley, Wiltshire, England
Chute Standen, Wiltshire, England
Chweffordd, Conwy, Wales
Chwefru, Powys, Wales
Chwilog, Gwynedd, Wales
Chwitffordd (Whitford), Flintshire, Wales
Chyandour, Cornwall, England
Chyanvounder, Cornwall, England
Chycoose, Cornwall, England
Chynhale, Cornwall, England
Chynoweth, Cornwall, England
Chyvarloe, Cornwall, England
Cicelyford, Monmouthshire, Wales
Cilau, Pembrokeshire, Wales
Cilcain, Flintshire, Wales
Cilcennin, Ceredigion, Wales
Cilcewydd, Powys, Wales
Cilfrew, Neath Port Talbot, Wales
Cilfynydd, Rhondda Cynon Taff, Wales
Cilgerran, Pembrokeshire, Wales
Cilgwyn, Ceredigion, Wales
Cilgwyn, Carmarthenshire, Wales
Cilgwyn, Gwynedd, Wales
Ciliau Aeron, Ceredigion, Wales
Cill Amhlaidh, Western Isles, Scotland
Cill Donnain, Western Isles, Scotland
Cill Eireabhagh, Western Isles, Scotland
Cilmaengwyn, Neath Port Talbot, Wales
Cilmery, Powys, Wales
Cilsan, Carmarthenshire, Wales
Ciltwrch, Powys, Wales
Cilwendeg, Pembrokeshire, Wales
Cilybebyll, Neath Port Talbot, Wales
Cilycwm, Carmarthenshire, Wales
Cimla, Neath Port Talbot, Wales
Cinder Hill, Kent, England
Cinder Hill, Lancashire, England
Cinder Hill, West Midlands, England
Cinder Hill, West Sussex, England
Cinderford, Gloucestershire, England
Cinderhill, Derbyshire, England
Cinderhill, Nottinghamshire, England
Cindery Island, Essex, England
Cinnamon Brow, Cheshire, England
Cippenham, Berkshire, England
Cippyn, Pembrokeshire, Wales
Cirbhig, Western Isles, Scotland
Circebost, Western Isles, Scotland
Cirencester, Gloucestershire, England
City, Glamorgan, Wales
City, Powys, Wales
City Dulas, Anglesey/Sir Fon, Wales
Clabby, County Fermanagh, Northern Ireland
Clabhach, Argyll and Bute, Scotland
Clachaig, Argyll and Bute, Scotland
Clachaig, Highland, Scotland
Clachan, Argyll and Bute, Scotland
Clachan, Highland, Scotland
Clachan, Western Isles, Scotland
Clachan of Campsie, Dunbartonshire, Scotland
Clachan of Glendaruel, Argyll and Bute, Scotland
Clachan-a-Luib, Western Isles, Scotland
Clachan-Seil, Argyll and Bute, Scotland
Clachbreck, Argyll and Bute, Scotland
Clachnaharry, Highland, Scotland
Clachtoll, Highland, Scotland
Clackmannan, Clackmannanshire, Scotland
Clackmarras, Moray, Scotland
Clacton-on-Sea, Essex, England
Cladach, Ayrshire, Scotland
Claddach, Argyll and Bute, Scotland
Claddach Illeray, Western Isles, Scotland
Claddach Kirkibost, Western Isles, Scotland
Claddach-knockline, Western Isles, Scotland
Cladich, Argyll and Bute, Scotland
Cladswell, Hereford and Worcester, England
Clady, County Antrim, Northern Ireland
Clady, County Tyrone, Northern Ireland
Cladymilltown, County Armagh, Northern Ireland
Claggan, Highland, Scotland
Claigan, Highland, Scotland
Claiggain, Argyll and Bute, Scotland
Claines, Hereford and Worcester, England
Clairinsh, Stirlingshire, Scotland
Clandown, Somerset, England
Clanfield, Hampshire, England
Clanfield, Oxfordshire, England
Clanking, Buckinghamshire, England
Clanville, Hampshire, England
Clanville, Somerset, England
Clanville, Wiltshire, England
Claonaig, Argyll and Bute, Scotland
Claonaig Water, Argyll and Bute, Scotland
Clap Hill, Kent, England
Clapgate, Dorset, England
Clapgate, Hertfordshire, England
Clapham, Bedfordshire, England
Clapham, Devon, England
Clapham, London, England
Clapham, North Yorkshire, England
Clapham, West Sussex, England
Clapham Green, Bedfordshire, England
Clapham Green, North Yorkshire, England
Clapham Hill, Kent, England
Clapham Park, London, England
Clapper, Cornwall, England
Clapper Hill, Kent, England
Clappersgate, Cumbria, England
Clapton, Berkshire, England
Clapton, Somerset, England
Clapton in Gordano, Somerset, England
Clapton Park, London, England
Clapton-on-the-Hill, Gloucestershire, England
Clapworthy, Devon, England
Clara Vale, Durham, England
Clarach, Ceredigion, Wales
Clarbeston, Pembrokeshire, Wales
Clarbeston Road, Pembrokeshire, Wales
Clarborough, Nottinghamshire, England
Clare, Oxfordshire, England
Clare, Suffolk, England
Claregate, Staffordshire, England
Claremont Park, Surrey, England
Claremount, Durham, England
Clarence Park, Somerset, England
Clarencefield, Dumfries and Galloway, Scotland
Clarendon Park, Leicestershire, England
Clareston, Pembrokeshire, Wales
Clarilaw, Scottish Borders, Scotland
Clark Green, Cheshire, England
Clarken Green, Hampshire, England
Clarksfield, Lancashire, England
Clarkston, Lanarkshire, Scotland
Clarkston, Renfrewshire, Scotland
Clase, Swansea, Wales
Clashandorran, Highland, Scotland
Clashmore, Highland, Scotland
Clashnessie, Highland, Scotland
Clashnoir, Moray, Scotland
Clate, Shetland Isles, Scotland
Clatford, Wiltshire, England
Clatford Oakcuts, Hampshire, England
Clathy, Perth and Kinross, Scotland
Clatt, Aberdeenshire, Scotland
Clatter, Powys, Wales
Clatterford, Isle of Wight, England
Clatterford End, Essex, England
Clatto, Fife, Scotland
Clatworthy, Somerset, England
Clatworthy Reservoir, Somerset, England
Clauchlands, Ayrshire, Scotland
Clauchlands Point, Ayrshire, Scotland
Claudy, County Londonderry, Northern Ireland
Claughton, Lancashire, England
Claughton, Merseyside, England
Clavelshay, Somerset, England
Claverdon, Warwickshire, England
Claverham, Somerset, England
Claverhambury, Essex, England
Clavering, Essex, England
Claverley, Shropshire, England
Claverton, Somerset, England
Claverton Down, Somerset, England
Clawdd Poncen, Denbighshire, Wales
Clawdd-coch, Glamorgan, Wales
Clawdd-newydd, Denbighshire, Wales
Clawthorpe, Cumbria, England
Clawton, Devon, England
Claxby, Lincolnshire, England
Claxton, Norfolk, England
Claxton, North Yorkshire, England
Clay Common, Suffolk, England
Clay Coton, Northamptonshire, England
Clay Cross, Derbyshire, England
Clay End, Hertfordshire, England
Clay Head, Isle of Man, England
Clay Hill, Berkshire, England
Clay Hill, Bristol, England
Clay Hill, London, England
Clay Lake, Lincolnshire, England
Clay Mills, Staffordshire, England
Claybrooke Magna, Leicestershire, England
Claybrooke Parva, Leicestershire, England
Claydon, Gloucestershire, England
Claydon, Suffolk, England
Claydon, Warwickshire, England
Claydon Brook, Buckinghamshire, England
Claygate, Kent, England
Claygate, Surrey, England
Claygate, Dumfries and Galloway, Scotland
Claygate Cross, Kent, England
Clayhall, Hampshire, England
Clayhall, London, England
Clayhanger, Devon, England
Clayhanger, Somerset, England
Clayhanger, Staffordshire, England
Clayhidon, Devon, England
Clayhill, East Sussex, England
Clayhill, Hampshire, England
Clayhithe, Cambridgeshire, England
Clayholes, Angus, Scotland
Clayland, Stirlingshire, Scotland
Claypit Hill, Cambridgeshire, England
Claypits, Gloucestershire, England
Claypits, Kent, England
Claypits, Suffolk, England
Claypole, Lincolnshire, England
Clays End, Somerset, England
Claythorpe, Lincolnshire, England
Clayton, Greater Manchester, England
Clayton, South Yorkshire, England
Clayton, Staffordshire, England
Clayton, West Sussex, England
Clayton, West Yorkshire, England
Clayton, Fife, Scotland
Clayton Brook, Lancashire, England
Clayton Green, Lancashire, England
Clayton Heights, West Yorkshire, England
Clayton Le Dale, Lancashire, England
Clayton West, West Yorkshire, England
Clayton-Le-Moors, Lancashire, England
Clayton-le-Woods, Lancashire, England
Clayworth, Nottinghamshire, England
Cleadale, Highland, Scotland
Cleadon, Tyne and Wear, England
Cleadon Park, Tyne and Wear, England
Clearbrook, Devon, England
Clearwell, Newport, Wales
Clearwood, Wiltshire, England
Cleasby, North Yorkshire, England
Cleat, Orkney, Scotland
Cleat, Western Isles, Scotland
Cleatlam, Durham, England
Cleator, Cumbria, England
Cleator Moor, Cumbria, England
Cleave, Devon, England
Cleaver,  The, Hereford and Worcester, England
Cleckheaton, West Yorkshire, England
Cledan, Powys, Wales
Cleddon, Monmouthshire, Wales
Cledwen, Conwy, Wales
Clee St Margaret, Shropshire, England
Cleedownton, Shropshire, England
Cleehill, Shropshire, England
Cleekhimin, Lanarkshire, Scotland
Cleemarsh, Shropshire, England
Cleestanton, Shropshire, England
Cleethorpes, Lincolnshire, England
Cleeton St Mary, Shropshire, England
Cleeve, Gloucestershire, England
Cleeve, Oxfordshire, England
Cleeve, Somerset, England
Cleeve Hill, Gloucestershire, England
Cleeve Prior, Hereford and Worcester, England
Cleghorn, Lanarkshire, Scotland
Clehonger, Hereford and Worcester, England
Cleigh, Argyll and Bute, Scotland
Cleish, Perth and Kinross, Scotland
Cleland, Lanarkshire, Scotland
Clement Street, Kent, England
Clements End, Gloucestershire, England
Clench, Wiltshire, England
Clench Common, Wiltshire, England
Clenchwarton, Norfolk, England
Clennell, Northumberland, England
Clent, Hereford and Worcester, England
Cleobury Mortimer, Shropshire, England
Cleobury North, Shropshire, England
Clephanton, Highland, Scotland
Clerk Green, West Yorkshire, England
Clerkenwater, Cornwall, England
Clerkenwell, London, England
Clerkhill, Aberdeenshire, Scotland
Clerklands, Scottish Borders, Scotland
Clermiston, Edinburgh, Scotland
Cleuch Head, Scottish Borders, Scotland
Clevancy, Wiltshire, England
Clevans, Renfrewshire, Scotland
Clevedon, Somerset, England
Cleveland Hills, North Yorkshire, England
Cleveley, Oxfordshire, England
Cleveleys, Lancashire, England
Cleverton, Wiltshire, England
Clewer, Somerset, England
Clewer Green, Berkshire, England
Clewer New Town, Berkshire, England
Clewer Village, Berkshire, England
Cley next the Sea, Norfolk, England
Cliasay More, Western Isles, Scotland
Clibberswick, Shetland Isles, Scotland
Cliburn, Cumbria, England
Cliddesden, Hampshire, England
Cliff, Derbyshire, England
Cliff, Warwickshire, England
Cliff, Highland, Scotland
Cliff, Western Isles, Scotland
Cliff End, East Sussex, England
Cliff End, West Yorkshire, England
Cliffburn, Angus, Scotland
Cliffe, Kent, England
Cliffe, Lancashire, England
Cliffe, North Yorkshire, England
Cliffe Woods, Kent, England
Clifford, Devon, England
Clifford, Hereford and Worcester, England
Clifford, West Yorkshire, England
Church Hanborough, Oxfordshire, England
Clifford Chambers, Warwickshire, England
Cliffs End, Kent, England
Clifftown, Essex, England
Clifton, Bedfordshire, England
Clifton, Cheshire, England
Clifton, Cumbria, England
Clifton, Derbyshire, England
Clifton, Devon, England
Clifton, Durham, England
Clifton, Lancashire, England
Clifton, Greater Manchester, England
Clifton, North Yorkshire, England
Clifton, Northumberland, England
Clifton, Nottinghamshire, England
Clifton, Oxfordshire, England
Clifton, Somerset, England
Clifton, South Yorkshire, England
Clifton, Hereford and Worcester, England
Clifton, Stirlingshire, Scotland
Clifton, Bristol, England
Clifton Campville, Staffordshire, England
Clifton Green, Greater Manchester, England
Clifton Hampden, Oxfordshire, England
Clifton Junction, Greater Manchester, England
Clifton Maybank, Dorset, England
Clifton Reynes, Buckinghamshire, England
Clifton upon Dunsmore, Warwickshire, England
Clifton Upton Teme, Hereford and Worcester, England
Cliftonville, Kent, England
Cliftonville, Norfolk, England
Cliftonville, Lanarkshire, Scotland
Climping, West Sussex, England
Clinkham Wood, Merseyside, England
Clint, North Yorkshire, England
Clint Green, Norfolk, England
Clints, North Yorkshire, England
Clipiau, Powys, Wales
Clippesby, Norfolk, England
Clippings Green, Norfolk, England
Clipsham, Rutland, England
Clipston, Northamptonshire, England
Clipston, Nottinghamshire, England
Clipstone, Bedfordshire, England
Clipstone, Nottinghamshire, England
Clipstone Brook, Bedfordshire, England
Clisham, Western Isles, Scotland
Clitheroe, Lancashire, England
Cliton Manor, Bedfordshire, England
Cliuthar, Western Isles, Scotland
Clive, Cheshire, England
Clive, Shropshire, England
Clive Green, Cheshire, England
Clive Vale, East Sussex, England
Clivocast, Shetland Isles, Scotland
Clixby, Lincolnshire, England
Cloatley, Wiltshire, England
Cloatley End, Wiltshire, England
Clocaenog, Denbighshire, Wales
Clochan, Moray, Scotland
Clock Face, Merseyside, England
Clock House, Surrey, England
Clock Mills, Hereford and Worcester, England
Cloddiau, Powys, Wales
Cloddymoss, Moray, Scotland
Clodock, Hereford and Worcester, England
Cloford, Somerset, England
Cloford Common, Somerset, England
Clogh, County Antrim, Northern Ireland
Clogh Mills, County Antrim, Northern Ireland
Cloghbrack, County Tyrone, Northern Ireland
Cloghcor, County Tyrone, Northern Ireland
Cloghera, County Tyrone, Northern Ireland
Cloghroe, County Down, Northern Ireland
Cloigyn, Carmarthenshire, Wales
Clola, Aberdeenshire, Scotland
Clonelly, County Fermanagh, Northern Ireland
Clonfeacle, County Armagh, Northern Ireland
Clontivrin, County Fermanagh, Northern Ireland
Clophill, Bedfordshire, England
Clopton, Northamptonshire, England
Clopton Corner, Suffolk, England
Clopton Green, Suffolk, England
Close House, Durham, England
Closeburn, Dumfries and Galloway, Scotland
Closworth, Somerset, England
Clothall, Hertfordshire, England
Clothall Common, Hertfordshire, England
Clotton, Cheshire, England
Clotton Common, Cheshire, England
Cloud Side, Staffordshire, England
Cloudesley Bush, Warwickshire, England
Clouds, Hereford and Worcester, England
Clough, Lancashire, England
Clough, West Yorkshire, England
Clough, County Down, Northern Ireland
Clough Dene, Durham, England
Clough Foot, Durham, England
Clough Hall, Staffordshire, England
Clough Head, Durham, England
Clough Head, West Yorkshire, England
Cloughey, County Down, Northern Ireland
Cloughfold, Lancashire, England
Cloughmills, County Antrim, Northern Ireland
Cloughreagh, County Armagh, Northern Ireland
Cloughton, North Yorkshire, England
Cloughton Newlands, North Yorkshire, England
Clousta, Shetland Isles, Scotland
Clouston, Orkney, Scotland
Clova, Angus, Scotland
Clove Hitch Quay, London, England
Clovelly, Devon, England
Clovenfords, Scottish Borders, Scotland
Clovenstone, Aberdeenshire, Scotland
Clovullin, Highland, Scotland
Clow Bridge, Lancashire, England
Clowance Wood, Cornwall, England
Clowne, Derbyshire, England
Clows Top, Hereford and Worcester, England
Cloy, Wrexham, Wales
Cluanie, Highland, Scotland
Clubmoor, Lancashire, England
Clubworthy, Cornwall, England
Cluddley, Shropshire, England
Clun, Shropshire, England
Clunbury, Shropshire, England
Clunderwen, Carmarthenshire, Wales
Clune, Highland, Scotland
Clunes, Highland, Scotland
Clungunford, Shropshire, England
Clunie, Perth and Kinross, Scotland
Clunie Water, Aberdeenshire, Scotland
Clunton, Shropshire, England
Cluny, Fife, Scotland
Clutton, Cheshire, England
Clutton, Somerset, England
Clutton Hill, Somerset, England
Clwt-y-bont, Gwynedd, Wales
Clwyd, Denbighshire, Wales
Clwydyfagwyr, Merthyr Tydfil, Wales
Clydach, Monmouthshire, Wales
Clydach, Swansea, Wales
Clydach Terrace, Blaenau Gwent, Wales
Clydach Vale, Rhondda Cynon Taff, Wales
Clyde, Lanarkshire, Scotland
Clyde Burn, Lanarkshire, Scotland
Clydebank, Renfrewshire, Scotland
Clyffe Pypard, Wiltshire, England
Clynder, Argyll and Bute, Scotland
Clyne, Neath Port Talbot, Wales
Clynnog-fawr, Gwynedd, Wales
Clyro, Powys, Wales
Clyst, Devon, England
Clyst Honiton, Devon, England
Clyst Hydon, Devon, England
Clyst St George, Devon, England
Clyst St Lawrence, Devon, England
Clyst St Mary, Devon, England
Clywedog, Gwynedd, Wales
Clywedog, Wrexham, Wales
Cnoc Amhlaigh, Western Isles, Scotland
Cnoc an t-Solais, Western Isles, Scotland
Cnoc Ard, Western Isles, Scotland
Cnoc Mairi, Western Isles, Scotland
Cnoc nan Gobhar, Western Isles, Scotland
Cnocbreac, Argyll and Bute, Scotland
Cnocloisgte Water, Highland, Scotland
Cnwch Coch, Ceredigion, Wales
Coagh, County Down, Northern Ireland
Coaghg, County Tyrone, Northern Ireland
Coal Aston, Derbyshire, England
Coal Bank, Durham, England
Coal Pool, Staffordshire, England
Coalbrookdale, Shropshire, England
Coalbrookvale, Blaenau Gwent, Wales
Coalburn, Lanarkshire, Scotland
Coalburns, Durham, England
Coalcleugh, Northumberland, England
Coaley, Gloucestershire, England
Coaley Peak, Gloucestershire, England
Coalford, Aberdeenshire, Scotland
Coalhall, Ayrshire, Scotland
Coalhill, Essex, England
Coalisland, County Tyrone, Northern Ireland
Coalmoor, Shropshire, England
Coalpit Field, Warwickshire, England
Coalpit Heath, Gloucestershire, England
Coalpit Hill, Staffordshire, England
Coalport, Shropshire, England
Coalsnaughton, Clackmannanshire, Scotland
Coaltown of Balgonie, Fife, Scotland
Coaltown of Burnturk, Fife, Scotland
Coaltown of Wemyss, Fife, Scotland
Coalville, Leicestershire, England
Coalway, Gloucestershire, England
Coanwood, Northumberland, England
Coarsewell, Devon, England
Coat, Somerset, England
Coatbridge, Lanarkshire, Scotland
Coatdyke, Lanarkshire, Scotland
Coate, Wiltshire, England
Coates, Cambridgeshire, England
Coates, Gloucestershire, England
Coates, Lancashire, England
Coates, Lincolnshire, England
Coates, Nottinghamshire, England
Coates, West Sussex, England
Coates, Midlothian, Scotland
Coatham, West Yorkshire, England
Coatham Mundeville, Durham, England
Cobb, Devon, England
Cobbaton, Devon, England
Cobbs, Cheshire, England
Cobbs Fenn, Essex, England
Cobby Syke, North Yorkshire, England
Cober, Cornwall, England
Coberley, Gloucestershire, England
Cobhall Common, Hereford and Worcester, England
Cobham, Kent, England
Cobham, Surrey, England
Cobholm Island, Norfolk, England
Cobley, Dorset, England
Cobley Hill, Hereford and Worcester, England
Cobnash, Hereford and Worcester, England
Cobridge, Staffordshire, England
Cobscot, Shropshire, England
Cock & End, Suffolk, England
Cock Alley, Derbyshire, England
Cock Bank, Wrexham, Wales
Cock Beck, North Yorkshire, England
Cock Beck, West Yorkshire, England
Cock Bevington, Warwickshire, England
Cock Clarks, Essex, England
Cock Gate, Hereford and Worcester, England
Cock Green, Essex, England
Cock Hill, North Yorkshire, England
Cock Marling, East Sussex, England
Cock of Arran, Ayrshire, Scotland
Cock Street, Kent, England
Cock Street, Suffolk, England
Cockayne, North Yorkshire, England
Cockayne Hatley, Bedfordshire, England
Cockburnspath, Scottish Borders, Scotland
Cockden, Lancashire, England
Cockenzie and Port Seton, East Lothian, Scotland
Cocker, Cumbria, England
Cocker Bar, Lancashire, England
Cockerham, Lancashire, England
Cockermouth, Cumbria, England
Cockernhoe, Bedfordshire, England
Cockersdale, West Yorkshire, England
Cockerton, Durham, England
Cockett, Swansea, Wales
Cockfield, Durham, England
Cockfield, Suffolk, England
Cockfosters, London, England
Cockhill, Somerset, England
Cocking, West Sussex, England
Cocking Causeway, West Sussex, England
Cockington, Devon, England
Cocklake, Somerset, England
Cockleford, Gloucestershire, England
Cockley Beck, Cumbria, England
Cockley Cley, Norfolk, England
Cockley Hill, West Yorkshire, England
Cocknowle, Dorset, England
Cockpole Green, Berkshire, England
Cocks, Cornwall, England
Cocks Green, Suffolk, England
Cockshead, Ceredigion, Wales
Cockshoot, Hereford and Worcester, England
Cockshutford, Shropshire, England
Cockshutt, Shropshire, England
Cockthorpe, Norfolk, England
Cockwells, Cornwall, England
Cockwood, Devon, England
Cockwood, Somerset, England
Cockyard, Derbyshire, England
Cockyard, Hereford and Worcester, England
Cod Beck, North Yorkshire, England
Coddenham, Suffolk, England
Coddenham Green, Suffolk, England
Coddington, Cheshire, England
Coddington, Hereford and Worcester, England
Coddington, Nottinghamshire, England
Codford St Mary, Wiltshire, England
Codford St Peter, Wiltshire, England
Codicote, Hertfordshire, England
Codicote Bottom, Hertfordshire, England
Codmore, Buckinghamshire, England
Codmore Hill, West Sussex, England
Codnor, Derbyshire, England
Codnor Breach, Derbyshire, England
Codnor Gate, Derbyshire, England
Codnor Park, Derbyshire, England
Codrington, Gloucestershire, England
Codsall, Staffordshire, England
Codsall Wood, Shropshire, England
Codsend, Somerset, England
Coed Cwnwr, Monmouthshire, Wales
Coed Duon (Blackwood), Caerphilly, Wales
Coed Eva, Torfaen, Wales
Coed Mawr, Gwynedd, Wales
Coed Morgan, Monmouthshire, Wales
Coed y Garth, Ceredigion, Wales
Coed y go, Shropshire, England
Coed Ystumgwern, Gwynedd, Wales
Coed-Llai (Leeswood), Flintshire, Wales
Coed-talon, Flintshire, Wales
Coed-y-bryn, Ceredigion, Wales
Coed-y-caerau, Newport, Wales
Coed-y-fedw, Monmouthshire, Wales
Coed-y-paen, Monmouthshire, Wales
Coed-y-parc, Gwynedd, Wales
Coed-y-wlad, Powys, Wales
Coed-yr-ynys, Powys, Wales
Coedcae, Blaenau Gwent, Wales
Coedcae, Torfaen, Wales
Coedely, Rhondda Cynon Taff, Wales
Coedkernew, Newport, Wales
Coedpoeth, Wrexham, Wales
Coedway, Shropshire, England
Coelbren, Powys, Wales
Coffee Hall, Buckinghamshire, England
Coffinswell, Devon, England
Cofton, Devon, England
Cofton Common, West Midlands, England
Cofton Hackett, Hereford and Worcester, England
Cog, Glamorgan, Wales
Cogan, Glamorgan, Wales
Cogenhoe, Northamptonshire, England
Cogges, Oxfordshire, England
Coggeshall, Essex, England
Coggeshall Hamlet, Essex, England
Coggins Mill, East Sussex, England
Coig Peighinnean, Western Isles, Scotland
Coig Peighinnean Bhuirgh, Western Isles, Scotland
Coilleag, Western Isles, Scotland
Coillore, Highland, Scotland
Coiltie, Highland, Scotland
Coire an Fhuarain, Western Isles, Scotland
Coirefois Burn, Highland, Scotland
Coisley Hill, South Yorkshire, England
Coity, Glamorgan, Wales
Cokenach, Hertfordshire, England
Cokhay Green, Derbyshire, England
Col, Western Isles, Scotland
Col Uarach, Western Isles, Scotland
Colan, Cornwall, England
Colaton Raleigh, Devon, England
Colbost, Highland, Scotland
Colburn, North Yorkshire, England
Colby, Cumbria, England
Colby, Isle of Man, England
Colby, Norfolk, England
Colchester, Essex, England
Colchester Green, Suffolk, England
Colcot, Glamorgan, Wales
Cold Ash, Berkshire, England
Cold Ash Hill, Hampshire, England
Cold Ashby, Northamptonshire, England
Cold Ashton, Gloucestershire, England
Cold Aston, Gloucestershire, England
Cold Blow, Pembrokeshire, Wales
Cold Brayfield, Buckinghamshire, England
Cold Christmas, Hertfordshire, England
Cold Cotes, North Yorkshire, England
Cold Elm, Hereford and Worcester, England
Cold Hanworth, Lincolnshire, England
Cold Harbour, Berkshire, England
Cold Harbour, Dorset, England
Cold Harbour, Hertfordshire, England
Cold Harbour, Kent, England
Cold Harbour, Lincolnshire, England
Cold Harbour, Oxfordshire, England
Cold Harbour, Wiltshire, England
Cold Hatton, Shropshire, England
Cold Hatton Heath, Shropshire, England
Cold Hesledon, Durham, England
Cold Hiendley, West Yorkshire, England
Cold Higham, Northamptonshire, England
Cold Inn, Pembrokeshire, Wales
Cold Kirby, North Yorkshire, England
Cold Moss Heath, Cheshire, England
Cold Newton, Leicestershire, England
Cold Northcott, Cornwall, England
Cold Norton, Essex, England
Cold Overton, Leicestershire, England
Cold Row, Lancashire, England
Cold Well, Staffordshire, England
Coldbackie, Highland, Scotland
Coldblow, London, England
Coldbrook, Powys, Wales
Coldean, East Sussex, England
Coldeast, Devon, England
Coldeaton, Staffordshire, England
Colden, Durham, England
Colden Common, Hampshire, England
Coldfair Green, Suffolk, England
Coldham, Cambridgeshire, England
Coldham, Staffordshire, England
Coldharbour, Cornwall, England
Coldharbour, Devon, England
Coldharbour, Dorset, England
Coldharbour, Gloucestershire, England
Coldharbour, Kent, England
Coldharbour, London, England
Coldharbour, Surrey, England
Coldingham, Scottish Borders, Scotland
Coldmeece, Staffordshire, England
Coldoch, Stirlingshire, Scotland
Coldra, Newport, Wales
Coldred, Kent, England
Coldridge, Devon, England
Coldstream, Scottish Borders, Scotland
Coldvreath, Cornwall, England
Coldwaltham, West Sussex, England
Cole, Somerset, England
Cole, Wiltshire, England
Cole End, Essex, England
Cole End, Warwickshire, England
Cole Green, Hertfordshire, England
Cole Henley, Hampshire, England
Cole Park, London, England
Colebatch, Shropshire, England
Colebrook, Devon, England
Colebrooke, Devon, England
Coleby, Lincolnshire, England
Coleford, Devon, England
Coleford, Gloucestershire, England
Coleford, Somerset, England
Coleford Water, Somerset, England
Colegate End, Norfolk, England
Colehall, West Midlands, England
Colehill, Dorset, England
Coleman Green, Hertfordshire, England
Colemere, Shropshire, England
Colemore, Hampshire, England
Colemore Green, Shropshire, England
Coleorton, Leicestershire, England
Coleorton Moor, Leicestershire, England
Coleraine, London, England
Coleraine, County Londonderry, Northern Ireland
Colerne, Wiltshire, England
Coles Green, Suffolk, England
Coles Green, Hereford and Worcester, England
Coles Meads, Surrey, England
Colesbourne, Gloucestershire, England
Colesbrook, Dorset, England
Colesden, Bedfordshire, England
Coleshill, Buckinghamshire, England
Coleshill, Warwickshire, England
Coleshill, Wiltshire, England
Colestocks, Devon, England
Colethrop, Gloucestershire, England
Coley, Berkshire, England
Coley, Durham, England
Coley, Somerset, England
Colgate, West Sussex, England
Colham Green, London, England
Colindale, London, England
Colinsburgh, Fife, Scotland
Colinton, Edinburgh, Scotland
Colintraive, Argyll and Bute, Scotland
Colkirk, Norfolk, England
Coll, Argyll and Bute, Scotland
Coll, Western Isles, Scotland
Collafield, Gloucestershire, England
Collafirth, Shetland Isles, Scotland
Collam, Western Isles, Scotland
Collamoor Head, Cornwall, England
Collaton, Devon, England
Collaton St Mary, Devon, England
College Milton, Lanarkshire, Scotland
College of Roseisle, Moray, Scotland
College Park, London, England
College Town, Berkshire, England
Collennan, Ayrshire, Scotland
Collessie, Fife, Scotland
Colleton Mills, Devon, England
Collier Row, London, England
Collier Street, Kent, England
Colliers End, Hertfordshire, England
Colliers Hatch, Essex, England
Colliers Wood, London, England
Colliery Row, Durham, England
Collieston, Aberdeenshire, Scotland
Colliford Lake Reservoir, Cornwall, England
Collin, Dumfries and Galloway, Scotland
Collingbourne Ducis, Wiltshire, England
Collingbourne Kingston, Wiltshire, England
Collingham, Nottinghamshire, England
Collingham, West Yorkshire, England
Collington, Hereford and Worcester, England
Collingtree, Northamptonshire, England
Collingwood, Northumberland, England
Collins End, Oxfordshire, England
Collins Green, Cheshire, England
Collins Green, Lancashire, England
Collipriest, Devon, England
Colliston, Angus, Scotland
Colliton, Devon, England
Collycroft, Warwickshire, England
Collyhurst, Greater Manchester, England
Collyweston, Northamptonshire, England
Colmonell, Ayrshire, Scotland
Colmslie, Scottish Borders, Scotland
Colmsliehill, Scottish Borders, Scotland
Colmworth, Bedfordshire, England
Coln, Gloucestershire, England
Coln Rogers, Gloucestershire, England
Coln St Aldwyns, Gloucestershire, England
Coln St Dennis, Gloucestershire, England
Colnbrook, Berkshire, England
Colne, Buckinghamshire, England
Colne, Cambridgeshire, England
Colne, Essex, England
Colne, Hertfordshire, England
Colne, Lancashire, England
Colne, Surrey, England
Colne, West Yorkshire, England
Colne Bridge, West Yorkshire, England
Colne Brook, Berkshire, England
Colne Brook, Buckinghamshire, England
Colne Edge, Lancashire, England
Colne Engaine, Essex, England
Colne Point, Essex, England
Colne Water, Lancashire, England
Colnefields, Cambridgeshire, England
Colney, Norfolk, England
Colney Hatch, London, England
Colney Heath, Hertfordshire, England
Colney Street, Hertfordshire, England
Colonsay, Argyll and Bute, Scotland
Colpitts Grange, Northumberland, England
Colpy, Aberdeenshire, Scotland
Colsay, Shetland Isles, Scotland
Colscott, Devon, England
Colshaw, Staffordshire, England
Colsterdale, North Yorkshire, England
Colsterworth, Lincolnshire, England
Colston, Glasgow, Scotland
Colston, Pembrokeshire, Wales
Colston Bassett, Nottinghamshire, England
Colstrope, Buckinghamshire, England
Colt Hill, Hampshire, England
Colt Park, Cumbria, England
Coltfield, Moray, Scotland
Colthouse, Cumbria, England
Colthrop, Berkshire, England
Coltishall, Norfolk, England
Coltness, Lanarkshire, Scotland
Colton, Cumbria, England
Colton, Norfolk, England
Colton, North Yorkshire, England
Colton, Staffordshire, England
Colton, Suffolk, England
Colton, West Yorkshire, England
Colton Hills, Staffordshire, England
Columbia, Durham, England
Columbjohn, Devon, England
Colva, Powys, Wales
